locus_tag,gene_name,accession,old_locus_tag,start,end,strand,gene_product,COG,uniprot,operon
Synpcc7942_0146,Synpcc7942_0146,CP000100.1,,147160,147855,+,conserved hypothetical protein,No COG annotation,Q31RZ1,Op147
Synpcc7942_0147,Synpcc7942_0147,CP000100.1,,148159,148491,-,conserved hypothetical protein,No COG annotation,Q31RZ0,Op148
Synpcc7942_0148,Synpcc7942_0148,CP000100.1,,148646,150190,+,conserved hypothetical protein,Function unknown,Q31RY9,Op149
Synpcc7942_0149,ogt,CP000100.1,,150187,150744,-,methylated-DNA--protein-cysteine methyltransferase,"Replication, recombination and repair",Q31RY8,Op150
Synpcc7942_0150,dpm,CP000100.1,,150752,151918,-,Dolichyl-phosphate beta-D-mannosyltransferase,Cell wall/membrane/envelope biogenesis,Q31RY7,Op150
Synpcc7942_0151,psfR,CP000100.1,,152527,154917,+,response regulator receiver modulated diguanylate cyclase,No COG annotation,Q31RY6,Op151
Synpcc7942_0152,mraY,CP000100.1,,154914,156011,-,Phospho-N-acetylmuramoyl-pentapeptide-transferase,Cell wall/membrane/envelope biogenesis,Q31RY5,Op152
Synpcc7942_0153,Synpcc7942_0153,CP000100.1,,156026,156307,-,conserved hypothetical protein,Function unknown,Q31RY4,Op152
Synpcc7942_0154,Synpcc7942_0154,CP000100.1,,156340,156957,+,hypothetical protein,Function unknown,Q31RY3,Op153
Synpcc7942_0155,Synpcc7942_0155,CP000100.1,,156954,157184,+,hypothetical protein,No COG annotation,Q31RY2,Op153
Synpcc7942_0156,pgm1,CP000100.1,,157210,158841,-,phosphoglucomutase,Carbohydrate transport and metabolism,Q31RY1,Op154
Synpcc7942_0157,Synpcc7942_0157,CP000100.1,,159042,159560,-,conserved hypothetical protein,No COG annotation,Q31RY0,Op155
Synpcc7942_0158,Synpcc7942_0158,CP000100.1,,159996,161171,-,Rhodanese-like,Coenzyme transport and metabolism,Q31RX9,Op156
Synpcc7942_0159,Synpcc7942_0159,CP000100.1,,161198,161632,-,Mov34/MPN/PAD-1,Function unknown,Q31RX8,Op156
Synpcc7942_0160,era,CP000100.1,,161726,162661,+,GTP-binding protein Era,Function unknown,Q31RX7,Op157
Synpcc7942_0161,Synpcc7942_0161,CP000100.1,,162764,163306,+,conserved hypothetical protein,Coenzyme transport and metabolism,Q31RX6,Op158
Synpcc7942_0162,Synpcc7942_0162,CP000100.1,,163405,163755,+,hypothetical protein,No COG annotation,Q31RX5,Op159
Synpcc7942_0163,Synpcc7942_0163,CP000100.1,,163761,164510,+,conserved hypothetical protein,"Secondary metabolites biosynthesis, transport, and catabolism",Q31RX4,Op159
Synpcc7942_0164,iojap,CP000100.1,,164548,164967,+,Iojap-related protein,"Translation, ribosomal structure and biogenesis",Q31RX3,Op159
Synpcc7942_0165,Synpcc7942_0165,CP000100.1,,164986,165486,+,hypothetical protein,Function unknown,Q31RX2,Op159
Synpcc7942_0166,Synpcc7942_0166,CP000100.1,,165483,166436,+,conserved hypothetical protein,Amino acid transport and metabolism,Q31RX1,Op159
Synpcc7942_0167,Synpcc7942_0167,CP000100.1,,166695,166925,-,hypothetical protein,No COG annotation,Q31RX0,Op160
Synpcc7942_0168,Synpcc7942_0168,CP000100.1,,167065,167748,+,conserved hypothetical protein,No COG annotation,Q31RW9,Op161
Synpcc7942_0169,glnN,CP000100.1,,168176,170347,+,glutamate-ammonia ligase%2C glutamine synthetase type III,Function unknown,Q31RW8,Op162
Synpcc7942_0170,Synpcc7942_0170,CP000100.1,,170498,170752,+,hypothetical protein,No COG annotation,Q31RW7,Op163
Synpcc7942_0171,cysM,CP000100.1,,170797,171915,+,cysteine synthase,Amino acid transport and metabolism,Q31RW6,Op164
Synpcc7942_0172,Synpcc7942_0172,CP000100.1,,171912,172205,+,hypothetical protein,No COG annotation,Q31RW5,Op164
Synpcc7942_0173,cysQ,CP000100.1,,172202,173071,-,3'-Phosphoadenosine 5'-phosphosulfate (PAPS) 3'-phosphatase-like,Inorganic ion transport and metabolism,Q31RW4,Op165
Synpcc7942_0174,Synpcc7942_0174,CP000100.1,,173111,173989,+,Protein of unknown function UPF0011,Coenzyme transport and metabolism,Q31RW3,Op166
Synpcc7942_0175,Synpcc7942_0175,CP000100.1,,173986,174198,+,hypothetical protein,No COG annotation,Q31RW2,Op166
Synpcc7942_0176,-,CP000100.1,,174311,174712,+,conserved hypothetical protein,No COG annotation,Q31RW1,Op167
Synpcc7942_0177,Synpcc7942_0177,CP000100.1,,174709,175497,-,ABC-type uncharacterized transport system permease component-like,Function unknown,Q31RW0,Op168
Synpcc7942_0178,Synpcc7942_0178,CP000100.1,,175494,176471,-,ATPase,Function unknown,Q31RV9,Op168
Synpcc7942_0179,csaA,CP000100.1,,176742,177095,+,Secretion chaperone CsaA,No COG annotation,Q31RV8,Op169
Synpcc7942_0180,Synpcc7942_0180,CP000100.1,,177550,178422,-,conserved hypothetical protein,No COG annotation,Q31RV7,Op170
Synpcc7942_0181,Synpcc7942_0181,CP000100.1,,178419,179792,-,ATPase,No COG annotation,Q31RV6,Op170
Synpcc7942_0182,Synpcc7942_0182,CP000100.1,,180156,180881,-,hypothetical protein,No COG annotation,Q31RV5,Op171
Synpcc7942_0183,Synpcc7942_0183,CP000100.1,,181078,181467,+,conserved hypothetical protein,No COG annotation,Q31RV4,Op172
Synpcc7942_0184,Synpcc7942_0184,CP000100.1,,181464,182555,+,putative phosphate permease,No COG annotation,Q31RV3,Op172
Synpcc7942_0185,ggt,CP000100.1,,182620,184146,+,gamma-glutamyltransferase. Threonine peptidase. MEROPS family T03,Amino acid transport and metabolism,Q31RV2,Op173
Synpcc7942_0186,Synpcc7942_0186,CP000100.1,,184160,184411,+,possible DNA polymerase,No COG annotation,Q31RV1,Op173
Synpcc7942_0187,Synpcc7942_0187,CP000100.1,,184418,185461,-,conserved hypothetical protein,Function unknown,Q31RV0,Op174
Synpcc7942_0188,Synpcc7942_0188,CP000100.1,,185682,187418,+,diguanylate cyclase/phosphodiesterase (GGDEF %26 EAL domains) with PAS/PAC sensor(s),Signal transduction mechanisms,Q31RU9,Op175
Synpcc7942_0189,guaA,CP000100.1,,187531,189258,-,GMP synthase (glutamine-hydrolyzing),Nucleotide transport and metabolism,Q31RU8,Op176
Synpcc7942_0190,cbiD,CP000100.1,,189273,190397,-,cobalamin biosynthesis protein CbiD,Coenzyme transport and metabolism,Q31RU7,Op176
Synpcc7942_0191,serC,CP000100.1,,190472,191620,+,Serine--glyoxylate transaminase,Amino acid transport and metabolism,Q31RU6,Op177
Synpcc7942_0192,Synpcc7942_0192,CP000100.1,,191710,192186,-,conserved hypothetical protein YCF60,Function unknown,Q31RU5,Op178
Synpcc7942_0193,Synpcc7942_0193,CP000100.1,,192247,192471,-,conserved hypothetical protein,No COG annotation,Q31RU4,Op179
Synpcc7942_0194,polA,CP000100.1,,192655,195516,-,DNA polymerase I,"Replication, recombination and repair",Q31RU3,Op180
Synpcc7942_0195,Synpcc7942_0195,CP000100.1,,195630,196058,+,conserved hypothetical protein,Signal transduction mechanisms,Q31RU2,Op181
Synpcc7942_0196,bcmo1,CP000100.1,,196094,197575,-,Beta-carotene 15%2C15'-dioxygenase,Energy production and conversion,Q31RU1,Op182
Synpcc7942_0197,Synpcc7942_0197,CP000100.1,,197572,198933,-,folate/biopterin transporter,Carbohydrate transport and metabolism,O68867,Op182
Synpcc7942_0198,ndbC,CP000100.1,,198993,200429,-,type 2 NADH dehydrogenase,Energy production and conversion,Q31RT9,Op183
Synpcc7942_0199,Synpcc7942_0199,CP000100.1,,200426,201352,-,conserved hypothetical protein,Function unknown,Q31RT8,Op183
Synpcc7942_0200,Synpcc7942_0200,CP000100.1,,201352,201888,-,conserved hypothetical protein,Function unknown,Q31RT7,Op183
Synpcc7942_0201,ccoO,CP000100.1,,201889,202641,-,conserved hypothetical protein,No COG annotation,Q31RT6,Op183
Synpcc7942_0202,ccoN,CP000100.1,,202638,204089,-,Cbb3-type cytochrome oxidase subunit 1-like,No COG annotation,Q31RT5,Op183
Synpcc7942_0203,ribD1,CP000100.1,,204483,205589,-,5-amino-6-(5-phosphoribosylamino)uracil reductase / diaminohydroxyphosphoribosylaminopyrimidine deaminase,Coenzyme transport and metabolism,Q31RT4,Op184
Synpcc7942_0204,Synpcc7942_0204,CP000100.1,,205582,206046,-,conserved hypothetical protein,Function unknown,Q31RT3,Op184
Synpcc7942_0205,Synpcc7942_0205,CP000100.1,,206198,207214,+,Cytidyltransferase-related,Nucleotide transport and metabolism,Q31RT2,Op185
Synpcc7942_0206,pncB,CP000100.1,,207362,208750,+,Nicotinic acid phosphoribosyltransferase-like,Coenzyme transport and metabolism,Q31RT1,Op186
Synpcc7942_0207,Synpcc7942_0207,CP000100.1,,208813,208983,+,hypothetical protein,No COG annotation,Q31RT0,Op187
Synpcc7942_0208,Synpcc7942_0208,CP000100.1,,209056,211827,+,TPR repeat,Cell wall/membrane/envelope biogenesis,Q31RS9,Op188
Synpcc7942_0209,maf,CP000100.1,,211824,212450,-,maf protein,"Cell cycle control, cell division, chromosome partitioning",Q31RS8,Op189
Synpcc7942_0210,Synpcc7942_0210,CP000100.1,,212496,212897,+,conserved hypothetical protein,No COG annotation,Q31RS7,Op190
Synpcc7942_0211,cobQ,CP000100.1,,212909,214384,+,adenosylcobyric acid synthase (glutamine-hydrolysing),Coenzyme transport and metabolism,Q31RS6,Op190
Synpcc7942_0212,aroC,CP000100.1,,214471,215559,+,chorismate synthase,Amino acid transport and metabolism,Q31RS5,Op191
Synpcc7942_0213,Synpcc7942_0213,CP000100.1,,215643,216188,-,hypothetical protein,No COG annotation,Q31RS4,Op192
Synpcc7942_0214,Synpcc7942_0214,CP000100.1,,216509,217432,+,conserved hypothetical protein,Function unknown,Q31RS3,Op193
Synpcc7942_0215,Synpcc7942_0215,CP000100.1,,217424,217813,-,conserved hypothetical protein,"Replication, recombination and repair",Q31RS2,Op194
Synpcc7942_0216,Synpcc7942_0216,CP000100.1,,217948,218964,-,putative zinc-binding oxidoreductase,Energy production and conversion,Q31RS1,Op195
Synpcc7942_0217,Synpcc7942_0217,CP000100.1,,219113,219871,+,phosphatases-like,Function unknown,Q31RS0,Op196
Synpcc7942_0218,Synpcc7942_0218,CP000100.1,,220024,220191,-,conserved hypothetical protein,Function unknown,Q31RR9,Op197
Synpcc7942_0219,Synpcc7942_0219,CP000100.1,,220316,220636,-,conserved hypothetical protein,No COG annotation,Q31RR8,Op198
Synpcc7942_0220,minD,CP000100.1,,220639,221397,-,probable cell division inhibitor MinD,"Cell cycle control, cell division, chromosome partitioning",Q31RR7,Op198
Synpcc7942_0221,glk,CP000100.1,,221498,222535,+,glucokinase,Coenzyme transport and metabolism,Q31RR6,Op199
Synpcc7942_0222,Synpcc7942_0222,CP000100.1,,222532,223398,+,conserved hypothetical protein,Carbohydrate transport and metabolism,Q31RR5,Op199
Synpcc7942_0223,Synpcc7942_0223,CP000100.1,,223395,223805,-,hypothetical protein,No COG annotation,Q31RR4,Op200
Synpcc7942_0224,psbN,CP000100.1,,223821,223961,-,hypothetical protein,Function unknown,Q31RR3,Op200
Synpcc7942_0225,psbH,CP000100.1,,224060,224263,+,hypothetical protein,Function unknown,Q31RR2,Op201
Synpcc7942_0226,tatA,CP000100.1,,224357,224632,+,Sec-independent protein translocase TatA,"Intracellular trafficking, secretion, and vesicular transport",Q31RR1,Op202
Synpcc7942_0227,pth,CP000100.1,,224629,225255,+,peptidyl-tRNA hydrolase,"Translation, ribosomal structure and biogenesis",Q31RR0,Op202
Synpcc7942_0228,Synpcc7942_0228,CP000100.1,,225284,225544,+,conserved hypothetical protein,Function unknown,Q31RQ9,Op202
Synpcc7942_0229,Synpcc7942_0229,CP000100.1,,225658,226221,+,hypothetical protein,Function unknown,Q31RQ8,Op203
Synpcc7942_0230,Synpcc7942_0230,CP000100.1,,226263,227309,-,hypothetical protein,No COG annotation,Q31RQ7,Op204
Synpcc7942_0231,Synpcc7942_0231,CP000100.1,,227407,227931,-,putative acetyltransferase,Cell wall/membrane/envelope biogenesis,Q31RQ6,Op205
Synpcc7942_0232,aroA,CP000100.1,,227939,229285,-,3-phosphoshikimate 1-carboxyvinyltransferase,Amino acid transport and metabolism,Q31RQ5,Op205
Synpcc7942_0233,Synpcc7942_0233,CP000100.1,,229629,230054,-,conserved hypothetical protein,No COG annotation,Q31RQ4,Op206
Synpcc7942_0234,Synpcc7942_0234,CP000100.1,,230158,231150,-,conserved hypothetical protein,Lipid transport and metabolism,Q31RQ3,Op207
Synpcc7942_0235,Synpcc7942_0235,CP000100.1,,231162,231677,+,cyclic nucleotide-binding domain (cNMP-BD) protein,Signal transduction mechanisms,Q31RQ2,Op208
Synpcc7942_0236,Synpcc7942_0236,CP000100.1,,232018,232557,+,cyclic nucleotide-binding domain (cNMP-BD) protein,No COG annotation,Q31RQ1,Op209
Synpcc7942_0237,Synpcc7942_0237,CP000100.1,,232565,233143,-,conserved hypothetical protein,No COG annotation,Q31RQ0,Op210
Synpcc7942_0238,Synpcc7942_0238,CP000100.1,,233143,234324,-,conserved hypothetical protein,Function unknown,Q31RP9,Op210
Synpcc7942_0239,petJ1,CP000100.1,,234331,234669,-,cytochrome C6 soluble cytochrome f,Energy production and conversion,Q31RP8,Op210
Synpcc7942_0240,apcD,CP000100.1,,234851,235342,-,hypothetical protein,Energy production and conversion,Q31RP7,Op211
Synpcc7942_0241,rumA,CP000100.1,,235487,236854,+,23S rRNA (uracil-5-)-methyltransferase RumA,"Translation, ribosomal structure and biogenesis",Q31RP6,Op212
Synpcc7942_0242,Synpcc7942_0242,CP000100.1,,237166,238275,-,K+-dependent Na+/Ca+ exchanger related-protein,Inorganic ion transport and metabolism,Q31RP5,Op213
Synpcc7942_0243,hliC,CP000100.1,,238379,238522,-,possible high light inducible polypeptide HliC,Function unknown,Q31RP4,Op214
Synpcc7942_0244,glgP,CP000100.1,,238622,241156,-,Glycogen/starch/alpha-glucan phosphorylase,Carbohydrate transport and metabolism,Q31RP3,Op215
Synpcc7942_0245,gap1,CP000100.1,,241168,242229,-,glyceraldehyde-3-phosphate dehydrogenase,Energy production and conversion,Q31RP2,Op215
Synpcc7942_0246,Synpcc7942_0246,CP000100.1,,242421,243500,+,extracellular solute-binding protein%2C family 3,Amino acid transport and metabolism,Q31RP1,Op216
Synpcc7942_0247,bgtB,CP000100.1,,243507,244640,+,ABC-type permease for basic amino acids and glutamine,Inorganic ion transport and metabolism,Q31RP0,Op216
Synpcc7942_0248,Synpcc7942_0248,CP000100.1,,244642,245832,+,Amino acid ABC transporter%2C permease protein%2C 3-TM region%2C His/Glu/Gln/Arg/opine,Inorganic ion transport and metabolism,Q31RN9,Op216
Synpcc7942_0249,Synpcc7942_0249,CP000100.1,,245851,246636,+,ATPase,Amino acid transport and metabolism,Q31RN8,Op216
Synpcc7942_0250,Synpcc7942_0250,CP000100.1,,246639,247106,+,conserved hypothetical protein,No COG annotation,Q31RN7,Op216
Synpcc7942_0251,dnaQ,CP000100.1,,247110,247880,+,Exonuclease,"Replication, recombination and repair",Q31RN6,Op216
Synpcc7942_0252,Synpcc7942_0252,CP000100.1,,247909,248136,-,hypothetical protein,Function unknown,Q31RN5,Op217
Synpcc7942_0253,Synpcc7942_0253,CP000100.1,,248171,248629,-,conserved hypothetical protein,No COG annotation,Q31RN4,Op217
Synpcc7942_0254,gyrA,CP000100.1,,248859,251429,+,DNA gyrase subunit A,"Replication, recombination and repair",Q31RN3,Op218
Synpcc7942_0255,Synpcc7942_0255,CP000100.1,,251503,252783,-,ATPase,Function unknown,Q31RN2,Op219
Synpcc7942_0256,Synpcc7942_0256,CP000100.1,,252873,254099,+,Peptidase M20D%2C amidohydrolase,Function unknown,Q31RN1,Op220
Synpcc7942_0257,Synpcc7942_0257,CP000100.1,,254096,254845,-,Protein of unknown function DUF92%2C transmembrane,Function unknown,Q31RN0,Op221
Synpcc7942_0258,Synpcc7942_0258,CP000100.1,,254894,255334,+,conserved hypothetical protein,Function unknown,Q31RM9,Op222
Synpcc7942_0259,Synpcc7942_0259,CP000100.1,,255474,255806,+,conserved hypothetical protein,No COG annotation,Q31RM8,Op223
Synpcc7942_0260,clpC,CP000100.1,,255961,258435,-,ATPase,"Post-translational modification, protein turnover, and chaperones",Q31RM7,Op224
Synpcc7942_0261,rimI,CP000100.1,,258579,259178,-,ribosomal-protein-alanine acetyltransferase,Transcription,Q31RM6,Op225
Synpcc7942_0262,lysA,CP000100.1,,259226,260620,+,diaminopimelate decarboxylase,Amino acid transport and metabolism,Q31RM5,Op226
Synpcc7942_0263,Synpcc7942_0263,CP000100.1,,260700,261620,+,Protein of unknown function DUF147,Function unknown,Q31RM4,Op227
Synpcc7942_0264,uppS,CP000100.1,,261617,262372,+,Undecaprenyl pyrophosphate synthetase,Coenzyme transport and metabolism,Q31RM3,Op227
Synpcc7942_0265,Synpcc7942_0265,CP000100.1,,262385,262660,-,conserved hypothetical protein,No COG annotation,Q31RM2,Op228
Synpcc7942_0266,dnaJ4,CP000100.1,,262638,263195,-,Heat shock protein DnaJ-like,"Post-translational modification, protein turnover, and chaperones",Q31RM1,Op229
Synpcc7942_0267,rsmG,CP000100.1,,263757,264485,+,methyltransferase GidB,"Translation, ribosomal structure and biogenesis",Q31RM0,Op230
Synpcc7942_0268,Synpcc7942_0268,CP000100.1,,264482,264964,-,hypothetical protein,Function unknown,Q31RL9,Op231
Synpcc7942_0269,dphA2,CP000100.1,,264976,265857,-,conserved hypothetical protein,Lipid transport and metabolism,Q31RL8,Op231
Synpcc7942_0270,Synpcc7942_0270,CP000100.1,,265975,267168,+,TPR repeat,Cell wall/membrane/envelope biogenesis,P42460,Op232
Synpcc7942_0271,cobA2,CP000100.1,,267165,267896,+,uroporphyrinogen-III C-methyltransferase,Coenzyme transport and metabolism,P42451,Op232
Synpcc7942_0272,hemD,CP000100.1,,267889,268683,+,uroporphyrinogen-III synthase,Coenzyme transport and metabolism,P42452,Op232
Synpcc7942_0273,coaE,CP000100.1,,268662,269291,+,Dephospho-CoA kinase,Nucleotide transport and metabolism,Q31RL4,Op233
Synpcc7942_0274,Synpcc7942_0274,CP000100.1,,269329,269667,+,conserved hypothetical protein,Function unknown,Q31RL3,Op233
Synpcc7942_0275,Synpcc7942_0275,CP000100.1,,269657,269989,+,conserved hypothetical protein,Function unknown,Q31RL2,Op233
Synpcc7942_0276,glcD,CP000100.1,,270001,271473,-,glycolate oxidase subunit GlcD,Energy production and conversion,Q31RL1,Op234
Synpcc7942_0277,ligA,CP000100.1,,271493,273532,-,DNA ligase%2C NAD-dependent,"Replication, recombination and repair",Q31RL0,Op234
Synpcc7942_0278,hoxE,CP000100.1,,273657,274154,+,NADH:ubiquinone oxidoreductase 24 kD subunit-like,Energy production and conversion,Q31RK9,Op235
Synpcc7942_0279,hoxF,CP000100.1,,274154,275758,+,NADH dehydrogenase (quinone),Energy production and conversion,Q31RK8,Op235
Synpcc7942_0280,cinA,CP000100.1,,275768,277033,-,competence/damage-inducible protein cinA,Function unknown,Q31RK7,Op236
Synpcc7942_0281,Synpcc7942_0281,CP000100.1,,277043,278116,-,probable glycosyltransferase,Cell wall/membrane/envelope biogenesis,Q31RK6,Op236
Synpcc7942_0282,glyA,CP000100.1,,278139,279422,-,serine hydroxymethyltransferase,Amino acid transport and metabolism,Q31RK5,Op236
Synpcc7942_0283,dusB,CP000100.1,,279619,280623,-,Dihydrouridine synthase TIM-barrel protein nifR3,Coenzyme transport and metabolism,Q31RK4,Op237
Synpcc7942_0284,ccmK3,CP000100.1,,280701,281009,+,carbon dioxide concentrating mechanism protein CcmK,Energy production and conversion,Q31RK3,Op238
Synpcc7942_0285,ccmK4,CP000100.1,,281054,281395,+,carbon dioxide concentrating mechanism protein CcmK,Energy production and conversion,Q31RK2,Op239
Synpcc7942_0286,Synpcc7942_0286,CP000100.1,,281480,281842,+,conserved hypothetical protein,Function unknown,Q31RK1,Op240
Synpcc7942_0287,Synpcc7942_0287,CP000100.1,,281897,282592,+,hypothetical protein,No COG annotation,Q31RK0,Op241
Synpcc7942_0288,glmU,CP000100.1,,282604,283962,-,glucosamine-1-phosphate N-acetyltransferase / UDP-N-acetylglucosamine pyrophosphorylase,Cell wall/membrane/envelope biogenesis,Q31RJ9,Op242
Synpcc7942_0289,secA,CP000100.1,,284148,286994,+,protein translocase subunit secA,"Intracellular trafficking, secretion, and vesicular transport",Q55357,Op243
Synpcc7942_0290,pyrD,CP000100.1,,287003,288139,+,dihydroorotate oxidase A,Nucleotide transport and metabolism,Q31RJ7,Op243
Synpcc7942_0291,Synpcc7942_0291,CP000100.1,,288312,288530,+,conserved hypothetical protein,Function unknown,Q31RJ6,Op244
Synpcc7942_0292,coaBC,CP000100.1,,288534,289760,+,Phosphopantothenoylcysteine decarboxylase / Phosphopantothenate-cysteine ligase,Coenzyme transport and metabolism,Q31RJ5,Op244
Synpcc7942_0293,Synpcc7942_0293,CP000100.1,,289757,290095,-,conserved hypothetical protein,No COG annotation,Q31RJ4,Op245
Synpcc7942_0294,psbO,CP000100.1,,290394,291227,+,photosystem II manganese-stabilizing polypeptide,Function unknown,P11472,Op246
Synpcc7942_0295,sat,CP000100.1,,291417,292604,+,sulfate adenylyltransferase,Inorganic ion transport and metabolism,Q31RJ2,Op247
Synpcc7942_0296,Synpcc7942_0296,CP000100.1,,292750,294765,+,conserved hypothetical protein,Function unknown,Q31RJ1,Op248
Synpcc7942_0297,ftsH1,CP000100.1,,294872,296713,+,FtsH peptidase homologue%2C chloroplast. Metallo peptidase. MEROPS family M41,"Post-translational modification, protein turnover, and chaperones",Q31RJ0,Op249
Synpcc7942_0298,Synpcc7942_0298,CP000100.1,,296980,297627,-,hypothetical protein,Cell wall/membrane/envelope biogenesis,Q31RI9,Op250
Synpcc7942_0299,mreC,CP000100.1,,297624,298373,-,rod shape-determining protein MreC,Cell wall/membrane/envelope biogenesis,Q31RI8,Op250
